subspace_size,qsci_energy,spin_symm_energy,fci_subspace_energy,mean_sample_number
1,-2.368421284279991,-2.368421284279991,-2.368421284279991,16.3652868172451
2,-2.368421284279991,-2.368421284279991,-2.412439241406217,20.03839124805014
3,-2.3737005720809794,-2.3737005720809794,-2.434466278620976,20.03839124805014
4,-2.4124392414062172,-2.4124392414062186,-2.4871845549746916,24.535905662156466
5,-2.412439241406218,-2.4124392414062172,-2.533419815702619,29.30116217126749
6,-2.442989583071975,-2.442989583071974,-2.5570312336105427,29.30116217126749
7,-2.442989583071976,-2.4547686352924742,-2.598085808493658,35.674003587112644
8,-2.442989583071974,-2.455771904169588,-2.6338216476590652,35.674003587112644
9,-2.457171413138791,-2.456827571539979,-2.648570175915622,35.674003587112644
10,-2.49136147668994,-2.49173270241327,-2.6488808405717776,35.674003587112644
11,-2.4913614766899386,-2.4917356373101502,-2.6492586938536875,35.674003587112644
12,-2.5170097765410837,-2.4919151755998072,-2.659751317729209,35.674003587112644
13,-2.529995356670229,-2.4919151755998072,-2.660346179124088,38.5802589280868
14,-2.548534988851545,-2.51700977654109,-2.6892180068888702,38.5802589280868
15,-2.548534988851541,-2.5299953566702276,-2.716883014523853,43.680851111361406
16,-2.548534988851537,-2.5485349888515367,-2.717308868066615,43.680851111361406
17,-2.5551744241758123,-2.548534988851537,-2.717801059598684,47.239400198293936
18,-2.579504640426066,-2.548534988851533,-2.7354108019708785,47.239400198293936
19,-2.604483595532089,-2.548741061692139,-2.7532537391135405,47.239400198293936
20,-2.604483595532079,-2.5825749782452627,-2.7688042731063454,47.239400198293936
21,-2.604483595532085,-2.582592215663511,-2.784437307088569,47.239400198293936
22,-2.604483595532077,-2.584037082182868,-2.7928614657605086,47.239400198293936
23,-2.6211931656489464,-2.6188221893648724,-2.793009295419845,52.462148538485266
24,-2.621193165648947,-2.618822189364879,-2.793173351850766,57.850780097564595
25,-2.6211931656489478,-2.6188221893648693,-2.8110792105865374,57.850780097564595
26,-2.6384026074753044,-2.618822189364875,-2.8292825635469,63.87237670059541
27,-2.657673080031071,-2.6211931656489456,-2.8293156642640565,63.87237670059541
28,-2.6712377878002855,-2.621753216939006,-2.829380393561191,68.89409818208803
29,-2.6712377878002966,-2.625440584204809,-2.829451082814276,68.89409818208803
30,-2.6712377878002957,-2.6410493374813426,-2.8294978420157832,68.89409818208803
31,-2.671237787800285,-2.6480715318017385,-2.8295418461679285,68.89409818208803
32,-2.671237787800294,-2.6598407100024777,-2.829578075523299,68.89409818208803
33,-2.6712377878002926,-2.664963476621206,-2.829626455366464,68.89409818208803
34,-2.6720749571527014,-2.6859937443572197,-2.829666983102942,77.76426859548772
35,-2.6883713694724554,-2.6859937443572166,-2.8297222618941045,83.884575610269
36,-2.703668636432672,-2.6859937443572224,-2.829781933423602,83.884575610269
37,-2.7036686364326687,-2.685993744357216,-2.82989360040987,83.884575610269
38,-2.7036686364326674,-2.6859937443572237,-2.830018955873882,83.884575610269
39,-2.7036686364326648,-2.6859937443572233,-2.830155330868289,83.884575610269
40,-2.711583651280493,-2.6859937443572077,-2.830330236699634,83.884575610269
41,-2.722829794216609,-2.6859937443572117,-2.8303793958495107,83.884575610269
42,-2.7228297942166177,-2.6859937443572104,-2.8304329603410814,83.884575610269
43,-2.731288577928537,-2.685993744357219,-2.830585595465781,83.884575610269
44,-2.7406711056454687,-2.685993744357218,-2.830823145772833,83.884575610269
45,-2.7516028013360283,-2.6859937443572144,-2.830864797517256,83.884575610269
46,-2.751602801336023,-2.685993744357222,-2.831003146054714,83.884575610269
47,-2.7516028013360327,-2.6859937443572246,-2.831158308706808,83.884575610269
48,-2.75160280133603,-2.685993744357208,-2.831353371694807,83.884575610269
49,-2.7584730227385563,-2.685993744357216,-2.831577586472651,83.884575610269
50,-2.768074763342088,-2.6933993903751023,-2.8317032000075395,83.884575610269
51,-2.768074763342092,-2.69426629449214,-2.8317811771071,83.884575610269
52,-2.7723023434305305,-2.695647256834595,-2.8319097926402086,83.884575610269
53,-2.7791726068842237,-2.7186213647217974,-2.831977114981311,83.884575610269
54,-2.787168205614131,-2.7556196433986413,-2.8320368436797363,83.884575610269
55,-2.787168205614136,-2.755619643398639,-2.832113216798728,90.95082877149814
56,-2.7871682056141305,-2.75561964339864,-2.832182010528654,102.71203951484205
57,-2.7918994124868757,-2.75561964339864,-2.8323055685979894,102.71203951484205
58,-2.80246239166026,-2.7556196433986413,-2.832403716429144,102.71203951484205
59,-2.8024623916602702,-2.7556196433986417,-2.832521441983704,102.71203951484205
60,-2.8024802791495986,-2.755619643398636,-2.832618668635129,102.71203951484205
61,-2.8110159157956334,-2.755619643398638,-2.8327914937018415,102.71203951484205
62,-2.811015915795628,-2.7556196433986364,-2.833001406359493,111.38109961954261
63,-2.8174858850778453,-2.7556196433986417,-2.833126269902898,111.38109961954261
64,-2.8177801945610184,-2.755619643398638,-2.8332978761394183,123.35116188427462
65,-2.817923656300248,-2.7556196433986493,-2.833440853201097,123.35116188427462
66,-2.818033299548034,-2.760245254793408,-2.833680389021029,136.40062245080605
67,-2.818033299548037,-2.771367946889277,-2.8339501559645077,150.1793619189117
68,-2.8180332995480453,-2.783494350282384,-2.8340236570452038,150.1793619189117
69,-2.818178666718948,-2.7837667986934482,-2.834105222860441,150.1793619189117
70,-2.818286517234652,-2.784381358801186,-2.834195714580782,150.1793619189117
71,-2.8182865172346494,-2.7850133624501012,-2.834389335255605,150.1793619189117
72,-2.8182865172346614,-2.7865181987099175,-2.8346562501274923,150.1793619189117
73,-2.8182865172346494,-2.786518198709921,-2.834888849810074,162.41402943009075
74,-2.818286517234653,-2.7865181987099237,-2.83499651845435,162.41402943009075
75,-2.818343875478611,-2.7865181987099206,-2.8351258757685422,182.85647846747372
76,-2.8183915906444845,-2.789544701243838,-2.835260103486887,182.85647846747372
77,-2.8183915906444974,-2.7965373422634032,-2.8353585891502475,197.7532521780226
78,-2.8183915906444987,-2.7974024990488626,-2.8355347514121965,197.7532521780226
79,-2.818391590644499,-2.808151185697397,-2.8356832094402455,197.7532521780226
80,-2.8183915906444996,-2.80828008782699,-2.8360735956692786,197.7532521780226
81,-2.818391590644499,-2.808521204795907,-2.83652425807742,197.7532521780226
82,-2.818391590644493,-2.8093603173141184,-2.836807940228126,197.7532521780226
83,-2.818446271634129,-2.809360317314128,-2.8370403109760667,242.1745407792305
84,-2.818500944211949,-2.8093603173141273,-2.8373729435843247,242.1745407792305
85,-2.818557336105434,-2.8239145479883194,-2.8375428330623316,290.02833056569347
86,-2.818616788868093,-2.823914547988336,-2.837681983509695,353.1347977029375
87,-2.8186623095292416,-2.823914547988335,-2.837865765424857,353.1347977029375
88,-2.8186988405702125,-2.835921726308878,-2.8379974312952707,429.97243874767065
89,-2.8186988405702254,-2.8361535332208185,-2.838379150935122,7281.439420461189
90,-2.8186988405702147,-2.8363311754677927,-2.83895617292356,7281.439420461189
91,-2.8186988405702085,-2.836331175467784,-2.839743252254513,8915.721251950672
92,-2.818698840570211,-2.8363311754677833,-2.8410399453324424,8915.721251950672
93,-2.8187435122948057,-2.836563319403418,-2.841123948700295,9925.354067961312
94,-2.818779476562608,-2.836735972552487,-2.8412089919326884,9925.354067961312
95,-2.8188205015544727,-2.8367359725524848,-2.84122787756153,12153.049017779627
96,-2.8188520131791517,-2.8367359725524874,-2.8412517192510824,12153.049017779627
97,-2.8189054071631854,-2.8367359725524808,-2.8413541668635647,13037.024018080056
98,-2.818958652476289,-2.836735972552486,-2.841458688423856,13037.024018080056
99,-2.819012928452644,-2.8368354531153126,-2.841486914281469,15872.505295678962
100,-2.81907011205465,-2.8369182328480735,-2.8415248978576044,15872.505295678962
101,-2.819070112054656,-2.836918232848081,-2.8415678119049272,16783.84618688076
102,-2.819070112054651,-2.836918232848071,-2.8416142021494557,16783.84618688076
103,-2.8191002130028746,-2.8369182328480678,-2.8416557881437536,16783.84618688076
104,-2.8191302566955234,-2.8369182328480735,-2.8417002631070822,16783.84618688076
105,-2.8191302566955314,-2.8369182328480758,-2.841701825759785,16783.84618688076
106,-2.8191302566955323,-2.836918232848076,-2.8417031049152612,16783.84618688076
107,-2.8191471993862676,-2.836918232848082,-2.8417443180094253,17770.81039888188
108,-2.8191647014872263,-2.8369182328480815,-2.841788449995321,17770.81039888188
109,-2.8191647014872263,-2.836936826510039,-2.8418312237667505,20550.89460984161
110,-2.8191647014872174,-2.8369818368832016,-2.8418698242225693,20550.89460984161
111,-2.819164701487227,-2.836997188129742,-2.8419034962243637,20550.89460984161
112,-2.819164701487224,-2.8370395118553633,-2.841934820116891,20550.89460984161
113,-2.8192152381090136,-2.8370438309815165,-2.841985013484717,20550.89460984161
114,-2.8192603044751388,-2.837048725024488,-2.842030912164313,20550.89460984161
115,-2.819260304475142,-2.8371279849314854,-2.8421398009061747,21635.864271906055
116,-2.81926030447514,-2.8371913943742992,-2.8422374840969287,21635.864271906055
117,-2.8192603044751534,-2.8371913943742966,-2.8422723581639637,23254.56754833724
118,-2.8192603044751388,-2.837191394374296,-2.8423047836501807,23254.56754833724
119,-2.819313864298569,-2.8371913943743072,-2.842375267879133,23254.56754833724
120,-2.819361162822521,-2.837191394374297,-2.842453682134648,23254.56754833724
121,-2.819401203021861,-2.8371913943743046,-2.8425680085895078,23254.56754833724
122,-2.8194353368006078,-2.8371913943742935,-2.8426691508731916,23254.56754833724
123,-2.819468747814707,-2.837273646136363,-2.8428244630873456,24592.000161200784
124,-2.819502240274816,-2.8373397711230663,-2.842947700193581,24592.000161200784
125,-2.8195182710510376,-2.8374163226702738,-2.843068581375182,26448.344391425013
126,-2.8195349203032563,-2.837474893532383,-2.8431999573102935,26448.344391425013
127,-2.8195349203032563,-2.837490704368216,-2.8433521932263326,28473.93628147509
128,-2.8195349203032483,-2.8375282576918828,-2.8435206044461787,28473.93628147509
129,-2.81953492030325,-2.8375637532135434,-2.8435381900606083,28473.93628147509
130,-2.8195349203032576,-2.8375654834428623,-2.8435514871389773,28473.93628147509
131,-2.8195349203032585,-2.837575517761116,-2.84372203164815,28473.93628147509
132,-2.81953492030326,-2.837578993696423,-2.8438492237005124,28473.93628147509
133,-2.819534920303246,-2.8375789936964293,-2.843923171800098,28691.427706740604
134,-2.819534920303262,-2.8375789936964235,-2.8440021317180952,28691.427706740604
135,-2.8195349203032523,-2.837578993696416,-2.8440493100106945,28691.427706740604
136,-2.819534920303253,-2.837578993696438,-2.844108313500394,28691.427706740604
137,-2.819554268103226,-2.837578993696425,-2.844173645264563,28691.427706740604
138,-2.81957389426542,-2.837578993696429,-2.8442644439611198,28691.427706740604
139,-2.819609554113187,-2.837602528657826,-2.8444175705274803,30050.570116569994
140,-2.8196469137663533,-2.8376087518488955,-2.8445916165068574,30050.570116569994
141,-2.819678666740249,-2.8376150285341706,-2.8446983825793497,30050.570116569994
142,-2.8197055139974525,-2.837651496334351,-2.844795458702696,30050.570116569994
143,-2.819731318208636,-2.8376743582917836,-2.8450003869623712,30050.570116569994
144,-2.8197574027357986,-2.83770639002667,-2.845178125942215,30050.570116569994
145,-2.819797191021679,-2.837706390026665,-2.8452791086810136,31956.22058842036
146,-2.8198383395596656,-2.8377063900266704,-2.8453684458878414,31956.22058842036
147,-2.819838339559665,-2.837706390026666,-2.8456019218402018,31956.22058842036
148,-2.8198383395596607,-2.837706390026672,-2.8457952168181975,31956.22058842036
149,-2.8198383395596727,-2.8377063900266744,-2.845937569447737,31956.22058842036
150,-2.819838339559671,-2.8377063900266655,-2.846076006365447,31956.22058842036
151,-2.819838339559661,-2.8378012829529546,-2.846222017862972,35131.07104526727
152,-2.819838339559668,-2.837882481768281,-2.846351789704173,35131.07104526727
153,-2.8198383395596656,-2.8378824817682826,-2.8464921396610907,36586.40443186611
154,-2.8198383395596682,-2.8378824817682875,-2.846622539173185,36586.40443186611
155,-2.8198484698511708,-2.837882481768289,-2.846725172257577,36586.40443186611
156,-2.819858471750448,-2.8378824817682835,-2.846809224548009,36586.40443186611
157,-2.8198584717504445,-2.8378824817682884,-2.8468454751016377,36586.40443186611
158,-2.8198584717504462,-2.8378824817682884,-2.8468744058035744,36586.40443186611
159,-2.8198584717504476,-2.837985544599567,-2.8469142808168675,39128.630835214346
160,-2.8198584717504565,-2.838071557353697,-2.846941469333117,39128.630835214346
161,-2.8198723554410217,-2.838141498292722,-2.846955150367223,39566.990037976175
162,-2.819887166858393,-2.8381990306561393,-2.846970399803877,39566.990037976175
163,-2.819897053662557,-2.8382295950797904,-2.8469824957054164,41636.04723618447
164,-2.819906788550241,-2.8382774656424887,-2.8469960035885356,41636.04723618447
165,-2.8199206859653705,-2.8383022990416276,-2.847015301745973,41636.04723618447
166,-2.8199356550095596,-2.838307182810432,-2.8470375470653173,41636.04723618447
167,-2.8199356550095587,-2.838346521612526,-2.847053702206345,41636.04723618447
168,-2.8199356550095582,-2.83834919678414,-2.8470678484002243,41636.04723618447
169,-2.81993565500955,-2.8383491967841454,-2.847085011679638,44030.6482648829
170,-2.819935655009553,-2.838349196784149,-2.8471050207718176,44030.6482648829
171,-2.8199575278278846,-2.83834919678414,-2.847117818171815,47354.33218060353
172,-2.8199766642722044,-2.8383491967841445,-2.8471277461925273,47354.33218060353
173,-2.819976664272202,-2.8383491967841477,-2.847134184334489,48454.918187374926
174,-2.8199766642722075,-2.838349196784134,-2.8471413632582108,48454.918187374926
175,-2.819976664272215,-2.838349196784145,-2.8471449634419037,50691.65933352344
176,-2.8199766642722155,-2.838349196784146,-2.8471482615973884,50691.65933352344
177,-2.8199841698590125,-2.8383491967841437,-2.8471500280198483,50691.65933352344
178,-2.8199896440387504,-2.8383491967841463,-2.847151942208164,50691.65933352344
179,-2.819999324529205,-2.838349196784148,-2.8471545972053685,50691.65933352344
180,-2.8200082453076405,-2.8383491967841428,-2.8471571256855865,50691.65933352344
181,-2.820016886350053,-2.838354772465146,-2.847163595414216,51370.451906793
182,-2.82002473607297,-2.838360401300359,-2.8471703785682285,51370.451906793
183,-2.820039606390143,-2.8383657111246023,-2.8471710816333813,51370.451906793
184,-2.8200523763442398,-2.8383776428397436,-2.847171835260865,51370.451906793
185,-2.8200523763442304,-2.838381471529593,-2.8471741203661662,51370.451906793
186,-2.82005237634423,-2.838392131041278,-2.8471759049081395,51370.451906793
187,-2.8200523763442367,-2.838448614007773,-2.8471772075621327,54821.358124797305
188,-2.8200523763442438,-2.838493708687582,-2.847178738290188,54821.358124797305
189,-2.820052376344233,-2.838499576472972,-2.84717993094187,57215.88703568625
190,-2.8200523763442242,-2.8385193043486114,-2.847181505151008,57215.88703568625
191,-2.82005237634423,-2.838538878144843,-2.8471836547726674,57215.88703568625
192,-2.820052376344237,-2.838541007601508,-2.8471850889021404,57215.88703568625
193,-2.820064373899485,-2.8385436187037567,-2.8471867529065404,57215.88703568625
194,-2.8200750237318544,-2.83854672561574,-2.8471892284624527,57215.88703568625
195,-2.8201310291941626,-2.838546725615735,-2.847189767523631,57974.28082830208
196,-2.820188618966997,-2.8385467256157466,-2.847190359031113,57974.28082830208
197,-2.8201982131721866,-2.838546725615752,-2.847190782023568,62350.51056857677
198,-2.8202065336918207,-2.8385467256157404,-2.8471912486047235,62350.51056857677
199,-2.8202065336918234,-2.838546725615737,-2.847191681572885,62543.242068393345
200,-2.8202065336918167,-2.8385467256157417,-2.8471921339556046,62543.242068393345
